1	vLdfKriwhLUMSeLEHKAt	Non-empty Intersection	probability	7	JaneStreet|JumpTrading	FREE
933	fJF451srLDxRalJIYhPr	The Art Of War	probability	8		PAID
934	q4VAU62eXQgZm54DIAR6	Coin Toss Game IX	probability	6		PAID
935	Oh16Lvl1wKmm5oB7MmDj	Dice Placement II	probability	7		PAID
936	IMr9aPqLXH8Nt0QSH7MZ	Unknown Gunmen IV	probability	8		PAID
937	6p9caV5ZJA5KBXPkMit4	Count Digits II	brainteasers	8	IMCTrading|SusquehannaInternationalGroup|Optiver	PAID
938	1B8Qf2FqBQg3qqTblqfN	Yet Another Optimal Stopping I	probability	6		PAID
939	6GsO78sQBOUCbJ7hzSSo	Yet Another Optimal Stopping II	probability	6		PAID
940	dA7ORvijgRTO9O8i5vr4	Sampling I	probability	7		PAID
941	EF1t9UD9zpnnJkKL7wAS	Sampling II	probability	9	SusquehannaInternationalGroup	PAID
942	mSLZXfD5Tluf5jpv4yum	Sampling III	probability	9	SusquehannaInternationalGroup	PAID
943	KAJsdPj1SsTC77ggtinN	Count Paths IV	combinatorics	5	SusquehannaInternationalGroup	PAID
944	eeiipK8HtW6kLTPmvJ3K	Spread Set	combinatorics	5	DRW	PAID
945	OHf9dpMOhuMaaOV5s8py	Three Drawers, Three Colors	probability	7	HudsonRiverTrading	PAID
946	xbyuPEt3FlkCXRzshTGX	Acute Triangle II	probability	8		PAID
947	pyb6J00hKffu4KvnQPZ8	Bluff	probability	6	FiveRings	PAID
948	BUs87DfYqIVjCCKyky1X	Acute Triangle III	probability	8		PAID
949	1JSUobC40vsk6enYHoqR	Even Coloring	combinatorics	5	DRW	PAID
950	G6qSP6gG6BJ78kgcQWPb	Ratio Expectation Bound	probability	6	DRW	PAID
951	iUGwQ8UrnddavW4fjlOv	Simplest Game	probability	4	DRW	PAID
952	rl5IcA03xSOz8yMJKZnq	Additional Info Coin Flips III	probability	5		PAID
953	pVh5mrSMIgMH1KYcUWxl	Most Likely Sum	probability	4		PAID
954	tiYJEsNlHdjWfx2sHODe	Fair Flip Construction	probability	5		PAID
955	lUMbEFUsuDGah6cvna8V	Three Consecutive Wins	probability	5		PAID
956	smU96sHObmJQWhFCgApV	Cracking The Code	brainteasers	10		PAID
957	QfeDSEgChn02zBccdW4x	Count Digits III	brainteasers	6	SusquehannaInternationalGroup	PAID
958	a8mDKiiT8kSzAVxXtQUW	Gold Rush III	brainteasers	5	JaneStreet	PAID
959	cP58Ri8iqtSWOQHIoKiK	Consecutive Expectation	probability	4	SusquehannaInternationalGroup	PAID
960	rkNcdWTeSQvwBu5RfuyN	Sampling IV	probability	9		PAID
961	eB8NwLi51M265ZT9Uxiv	Monty Hall I	probability	6	Citadel	PAID
962	45dYHUaweJ7oXPZF4qjd	Monty Hall II	probability	6		PAID
963	APjmdxh1gnzctDHqGAnW	Monty Hall III	probability	6		PAID
964	pmQOtOoWuko6102B5LZC	Infinite Product	brainteasers	6		PAID
965	ESA8mSmSMOsjGzCf7kjO	Reflection Reflection	brainteasers	6		PAID
966	SlieHcH8m4ZUOIqOoLLo	One By Four Construction	probability	6		PAID
967	VxBFYBKdwGhhJdNhldKp	Traversal	brainteasers	6		PAID
968	kmpsSDt4OzDsDmW0TLJt	Function Train	brainteasers	7		PAID
969	GyqYvLUVFcjqpcLicvQL	Empty Jar	probability	9		PAID
970	qVbl4RLN2uBsKTpRVTF7	Three In Decimal Expansion	probability	5		PAID
971	Oxnzg0c7dnk5j4hCjTVu	Robot Walk	probability	5		PAID
972	7n4uFzpMntbiyVgDsbTP	Conditional Circular Arrangement	probability	6		PAID
973	DvrxtIE39jS4KNDAqHgz	Four Four Four	probability	6		PAID
974	HMP7Xa0iUnz3yn5dmvjf	Hard Probability Construction I	probability	7		PAID
975	KB6MYhZt7gmRXgSzgGjv	Nothing Is Guaranteed	brainteasers	5		PAID
976	Wnt84EeRdc1mqvjHlvmZ	Don’t Cross One	probability	7	JaneStreet|DRW	PAID
